"phylum","class","dataset_id","records"
"Acanthocephala","Palaeacanthocephala","10fe54bb-b93b-4f00-bf4c-bd51542614ef",5
"Acanthocephala","Palaeacanthocephala","471a8de8-80f8-43f9-9443-88a45712feba",3
"Acanthocephala","Palaeacanthocephala","517ac935-af0f-4358-88fb-7093015182af",7
"Acidobacteria","Acidobacteria","2f3bb864-dec5-492e-90c1-35d592d640ab",15
"Acidobacteria","Acidobacteria","2fd06604-7d20-4712-9f68-eae9ae336bb5",2880
"Acidobacteria","Holophagae","2f3bb864-dec5-492e-90c1-35d592d640ab",3
"Actinobacteria","Actinobacteria","2f3bb864-dec5-492e-90c1-35d592d640ab",327
"Actinobacteria","Actinobacteria","2fd06604-7d20-4712-9f68-eae9ae336bb5",3113
"Actinobacteria","Actinobacteria","bcbabc5e-a0b9-4ddd-9e0e-dd99f01edefc",89
"Actinobacteria","Actinobacteria","bd3412c1-cefb-4216-bf70-64557f680a23",89
"Amoebozoa","Discosea","10fe54bb-b93b-4f00-bf4c-bd51542614ef",2
"Amoebozoa","Discosea","2f3bb864-dec5-492e-90c1-35d592d640ab",31
"Amoebozoa","Discosea","2fd06604-7d20-4712-9f68-eae9ae336bb5",4
"Amoebozoa","Discosea","67df1139-c62e-4b07-a67c-141009f0035d",7
"Amoebozoa","Discosea","a1b11fb9-5069-458d-aa7d-86ff92cb645e",7
"Amoebozoa","Myxogastria","2f3bb864-dec5-492e-90c1-35d592d640ab",122
"Amoebozoa","Tubulinea","10fe54bb-b93b-4f00-bf4c-bd51542614ef",2
"Amoebozoa","Tubulinea","2f3bb864-dec5-492e-90c1-35d592d640ab",16
"Amoebozoa","Tubulinea","2fd06604-7d20-4712-9f68-eae9ae336bb5",133
"Amoebozoa","Tubulinea","b58d5ca0-1af8-48b3-993d-6c89742bb0d2",1
"Amoebozoa","Tubulinea","f7d8aa43-cdfe-4be2-82a6-88ee33c5c60c",8
"Annelida","Clitellata","10b213e6-a9c4-459e-a40c-ef9edc461b97",3
"Annelida","Clitellata","10fe54bb-b93b-4f00-bf4c-bd51542614ef",12
"Annelida","Clitellata","159421b6-a764-4af1-9cc3-bc652dbeb12e",1
"Annelida","Clitellata","2930bb18-955e-49b4-8721-cfa2dc3d1dde",10
"Annelida","Clitellata","2f3bb864-dec5-492e-90c1-35d592d640ab",93
