"id","n_abnj","n_all"
"1000000",1,1
"1000001",0,1
"1000013",0,1
"1000173",0,3
"1000174",0,3
"1000200",0,12
"1000201",0,3
"1000220",0,2
"1000247",0,1
"1000248",0,1
"1000249",0,1
"1000266",0,1
"1000330",3,253
"1000335",0,26
"1000468",0,3
"1002614",1,478
"100263",0,2
"1002802",0,1
"1002805",0,1
"100284",0,11
"100291",1,1
"100309",0,2
"100310",0,2
"100316",0,3
"100335",1,1
"1003504",7,7
"100364",1,13
"100373",0,7
"100376",0,2
"100378",0,2
"100380",0,11
"100381",0,6
"100389",0,9
"100390",1,3
"100391",0,2
"100397",0,2
"100401",0,2
"100402",0,4
"100404",0,3
"100412",0,2
"100414",0,3
"100421",0,2
"100440",0,1
"100454",0,1
"100471",0,5
"100481",0,12
"100482",0,4
"100488",0,3
"100496",7,7
"100498",1,1
"100499",0,2
"100509",1,4
"100511",1,1
"1005376",70,80
"1005382",0,5
"1005390",0,1
"1005391",0,8
"1005409",2,353
"1005410",1,16
"100546",1,4
"100550",0,2
"100555",0,17
"100562",1,1
"100566",0,4
"1005664",0,1
"100567",3,3
"100585",0,1
"100587",0,2
"100596",0,1
"100599",0,4
"100603",0,1
"100605",1,4
"100607",0,8
"100614",0,3
"100616",0,30
"100625",0,1
"100632",0,1
"100635",0,1
"100637",0,3
"1006383",0,1
"100647",0,45
"1006694",0,3
"1006753",0,1
"1006754",0,1
"1006755",0,1
"1006757",0,3
"1006761",0,4
"1006762",0,1
"1006763",0,1
"1006765",0,1
"1006767",0,1
"1006770",0,6
"1006872",0,3
"1006880",1,4
"1006884",0,27
"1006980",0,39
"1007035",0,1
"1007065",0,13
"1007132",0,3
"1007215",5,11
"1007248",0,1
"1007272",0,3
"1007333",0,10
"1007334",0,35
"1007362",0,1
"1007365",0,1
"1007367",0,1
"1007370",0,1
"1007379",0,1
"1007384",0,1
"1007395",0,4
"1007402",0,34
"1007405",0,2
"1007406",0,2
"1007409",0,1
"1007411",2,52
"1007413",0,12
"1007417",0,7
"1007419",0,2
"1007422",0,42
"1007423",0,1
"1007424",0,1
"1007427",0,11
"1007430",0,1
"1007501",0,1
"1007541",0,1
"1007585",0,1
"1007624",0,3
"1007677",0,1
"1007712",0,10
"1007713",2,8
"1007750",0,1
"1007892",0,34
"1007900",0,17
"1007914",0,1
"100796",0,3
"1007985",0,45
"1007994",0,40
"1007995",0,4
"100801",0,7
"1008011",0,18
"100802",0,4
"100803",0,2060
"100805",1,86
"1008056",0,7
"100806",0,3
"100807",0,1
"100808",1,1354
"100809",1,34
"100812",1,14
"1008122",0,2
"100814",0,74
"100815",1,177
"100816",0,4
"100817",5,306
"100822",0,27
"100823",0,4
"100824",0,80
"100825",0,6
"100826",0,4
"100827",0,1
"1008276",0,2
"100828",0,1
"1008280",0,2
"100829",0,5
"100830",0,2
"100831",0,6
"100832",7,176
"100833",2,259
"100834",2,3449
"100835",0,23
"1008350",0,1
"1008352",0,2
"1008356",0,1
"100836",0,17
"100837",1,1
"100838",0,9
"1008382",0,34
"100839",7,153
"100840",0,4
"100841",0,31
"100842",0,103
"1008432",0,3
"100844",3,4
"100845",0,13
"1008454",0,16
"100846",0,2
"100847",0,4
"100849",0,1
"100851",2,3
"100852",4,10
"100853",2,2
"1008535",0,4
"100854",1,275
"100855",0,10
"100856",0,3
"100857",0,6
"100858",0,8
"100859",1,57
"1008604",0,1
"1008613",0,1
"1008614",0,1
"1008615",0,1
"100862",0,25
"100863",0,10
"100864",0,5
"100865",0,3
"100867",17,76
"100868",15,15
"1008680",0,5
"100869",0,5
"1008691",0,2
"100870",0,6
"100871",22,31
"1008717",0,4
"100872",1,127
"1008726",0,1
"1008727",0,4
"100874",0,1
"100875",0,31
"100876",0,11
"100880",1,3742
"1008807",0,1
"1008809",0,6
"100881",0,2
"1008811",0,4
"1008812",0,32
"1008814",0,3
"1008815",0,1
"1008816",0,1
"100882",0,613
"100883",0,6
"100884",0,8
"100885",0,56
"100887",0,4
"100888",0,3
"100889",0,235
"100890",0,1
"100891",0,3
"100892",0,16
"1008922",0,2
"100894",0,79
"1008941",0,2
"1008944",0,7
"100895",0,1
"100896",0,8
"1008987",0,1
"1009023",0,3
"1009037",0,2
"100905",0,9
"100906",1,232
"100907",1,1
"100908",0,53
"100909",0,12
"100910",0,50
"100912",0,44
"100913",0,184
"1009133",0,1
"100914",0,10
"1009145",0,3
"100915",0,41
"100916",1,630
"1009165",0,2
"100917",0,328
"1009171",1,2
"100918",0,7
"1009182",0,2
"1009183",0,5
"100919",0,1
"1009196",0,2
"100920",0,22
"100921",0,2
"100922",0,1
"100923",0,12
"100924",0,25
"1009255",0,3
"1009256",0,2
"1009260",0,2
"1009261",0,2
"100927",2,71
"1009271",0,7
"1009285",0,3
"100929",29,48
"1009292",0,10
"1009299",0,1
"100930",0,92
"1009328",0,579
"100933",0,126
"100934",19,20
"100936",0,40
"1009365",0,2
"100938",2,2
"100940",0,2
"100941",3,20
"100942",4,5
"100943",0,4
"100944",0,6
"1009442",0,1
"100945",0,7
"100946",1,444
"1009460",0,1
"100947",0,10
"100948",14,70
"1009482",0,20
"1009483",0,30
"100949",0,3
"100950",0,43
"100951",1,210
"1009517",0,1
"100952",0,1
"100954",5,301
"100955",16,93
"100956",0,4
"100957",0,1
"1009574",0,2
"100958",4,8
"100959",0,7
"1009596",0,3
"100960",0,1
"100961",0,63
"100963",0,3
"1009640",0,2
"1009649",0,3
"1009651",0,1
"100966",1,33
"1009661",0,4
"1009672",0,7
"1009678",0,2
"100968",1,42
"1009687",0,1
"100969",11,11
"1009693",0,2
"100970",0,1
"1009705",0,3
"100971",0,29
"1009717",0,3
"100972",0,24
"1009739",0,8
"100974",0,6
"1009746",0,1
"100975",0,53
"1009760",0,4
"100977",2,36
"1009774",0,4
"1009777",0,13
"100978",0,3
"1009786",0,2
